season,round,pick,team,gsis_id,pfr_player_id,cfb_player_id,pfr_player_name,hof,position,category,side,college,age,to,allpro,probowls,seasons_started,w_av,car_av,dr_av,games,pass_completions,pass_attempts,pass_yards,pass_tds,pass_ints,rush_atts,rush_yards,rush_tds,receptions,rec_yards,rec_tds,def_solo_tackles,def_ints,def_sacks,pfr_id,forty,comp_av,comps,transition_yards,transition_tds,transition_av_pred,pred_av,preseason_snaps,usage_factor,boom_metric,tier
2024,1,25,GNB,,MorgJo03,jordan-morgan-3,Jordan Morgan,False,OL,OL,O,Arizona,23.0,2024.0,0,0,0,1.0,,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,MorgJo03,5.04,,"['Kaulana Noa', 'Giovanni Carmazzi', 'Richard Mercier']",,,0.0,,0.0,0,,Bust
2024,1,26,TAM,,BartGr00,graham-barton-1,Graham Barton,False,OL,OL,O,Duke,22.0,2024.0,0,0,1,8.0,,8.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,BartGr00,,,"['Michael Boireau', 'Michael Boireau', 'Michael Boireau']",,,0.0,,0.0,0,,Bust
2024,1,27,ARI,00-0039854,RobiDa01,darius-robinson-2,Darius Robinson,False,DL,DL,D,Missouri,22.0,2024.0,0,0,0,0.0,,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,,1.0,RobiDa01,4.95,,"['Michael Boireau', 'Michael Boireau', 'Michael Boireau']",,,0.0,,0.0,0,,Bust
2024,1,28,KAN,00-0039894,WortXa00,xavier-worthy-1,Xavier Worthy,False,WR,WR,O,Texas,21.0,2024.0,0,0,1,7.0,,7.0,17.0,0.0,0.0,0.0,0.0,0.0,20.0,104.0,3.0,59.0,638.0,6.0,,,,WortXa00,4.21,13.333333333333334,"['John Beck', 'Mecole Hardman', 'Eric Ebron']",0.4212220472309065,16.287563756375636,43.80709291201428,28.570213122673806,0.0,0,28.570213122673806,Boom
2024,1,29,DAL,,GuytTy00,tyler-guyton-1,Tyler Guyton,False,OL,OL,O,Oklahoma,23.0,2024.0,0,0,1,4.0,,4.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,GuytTy00,5.19,,"['Michael Boireau', 'Michael Boireau', 'Michael Boireau']",,,0.0,,0.0,0,,Bust
2024,1,30,BAL,00-0039232,WiggNa00,nate-wiggins-1,Nate Wiggins,False,CB,DB,D,Clemson,21.0,2024.0,0,0,0,2.0,,2.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,1.0,,WiggNa00,4.28,,"['Anthony Midget', 'Joey Jamison', 'Muneer Moore']",1.7224531744345468,7.5,0.0,,0.0,0,,Bust
2024,1,31,SFO,00-0039916,PearRi00,ricky-pearsall-1,Ricky Pearsall,False,WR,WR,O,Florida,23.0,2024.0,0,0,0,3.0,,3.0,11.0,0.0,1.0,0.0,0.0,0.0,3.0,45.0,0.0,31.0,400.0,3.0,,,,PearRi00,4.41,21.666666666666668,"['Torrey Smith', 'Skyy Moore', 'Jeremy Maclin']",0.4212220472309065,16.287563756375636,18.954992125390792,20.31082939602873,0.0,0,20.31082939602873,Boom
2024,1,32,CAR,00-0039342,LegeXa00,xavier-legette-1,Xavier Legette,False,WR,WR,O,South Carolina,23.0,2024.0,0,0,1,5.0,,5.0,16.0,0.0,0.0,0.0,0.0,0.0,6.0,24.0,0.0,49.0,497.0,4.0,,,,LegeXa00,4.39,9.333333333333334,"['Zay Jones', 'Donte Moncrief', 'Mark Bradley']",0.4212220472309065,16.287563756375636,10.109329133541756,9.721331233437546,0.0,0,9.721331233437546,Neutral
2024,2,33,BUF,00-0039901,ColeKe02,keon-coleman-1,Keon Coleman,False,WR,WR,O,Florida St.,21.0,2024.0,0,0,1,7.0,,7.0,13.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0,0.0,29.0,556.0,4.0,,,,ColeKe02,4.61,10.666666666666666,"['Allen Robinson', 'Ed Dickson', 'Isaiah Ford']",0.4212220472309065,16.287563756375636,3.7909984250781585,7.228832545872413,0.0,0,7.228832545872413,Neutral
2024,2,34,LAC,00-0039915,McCoLa00,ladd-mcconkey-1,Ladd McConkey,False,WR,WR,O,Georgia,22.0,2024.0,0,0,1,11.0,,11.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.0,1149.0,7.0,,,,McCoLa00,4.39,,"['Michael Boireau', 'Michael Boireau', 'Michael Boireau']",0.4212220472309065,16.287563756375636,0.0,,0.0,0,,Bust
